City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
405,Kaniama,CD,-7.5667,24.1833,66.56,92,100,3.38,light rain
406,Moyale,KE,3.5167,39.0584,70.18,68,38,7.34,scattered clouds
407,Zhovti Vody,UA,48.3473,33.5003,54.9,92,100,14.38,moderate rain
408,Tefe,BR,-3.3542,-64.7114,91.51,62,20,2.3,few clouds
409,Bardiyah,LY,31.7561,25.0865,70.0,60,0,6.46,clear sky
410,Benicarlo,ES,40.4165,0.4271,68.56,72,100,1.97,overcast clouds
411,Shakawe,BW,-18.3667,21.85,80.4,33,83,2.95,broken clouds
412,Nhlangano,SZ,-27.1167,31.2,64.11,94,62,5.23,light rain
413,Tombouctou,ML,20.0,-3.0,79.12,15,31,10.87,scattered clouds
414,Atyrau,KZ,47.1167,51.8833,39.22,75,0,13.42,clear sky
415,Rognan,NO,67.0953,15.3878,44.06,87,100,3.42,overcast clouds
416,Olinda,BR,-8.0089,-34.8553,80.33,65,40,8.05,scattered clouds
417,Ayagoz,KZ,47.9714,80.4392,33.78,63,54,4.63,broken clouds
418,Umm Kaddadah,SD,13.6017,26.6876,78.48,21,5,15.68,clear sky
419,Quinchia,CO,5.3396,-75.7302,68.07,96,100,2.73,light rain
420,Kulhudhuffushi,MV,6.6221,73.07,80.04,80,82,4.92,broken clouds
421,Talcahuano,CL,-36.7167,-73.1167,56.88,88,100,13.8,overcast clouds
422,Kirkwall,GB,58.9848,-2.9587,51.85,93,100,10.36,overcast clouds
423,Muscat,OM,23.6139,58.5922,78.82,44,0,3.18,clear sky
424,Matagami,CA,49.7502,-77.6328,66.31,55,0,17.27,clear sky
425,Karmaskaly,RU,54.3709,56.1837,31.91,86,32,5.48,scattered clouds
426,Landshut,DE,48.5333,12.15,52.88,91,92,3.0,overcast clouds
427,Yar-Sale,RU,66.8333,70.8333,19.58,95,99,9.4,overcast clouds
428,Chokwe,MZ,-24.5333,32.9833,81.37,59,15,8.57,few clouds
429,Posse,BR,-14.0931,-46.3694,78.67,38,57,2.89,broken clouds
430,Antalaha,MG,-14.9003,50.2788,70.54,82,46,3.65,scattered clouds
431,Santa Rosa,PH,14.3122,121.1114,76.98,97,93,7.83,moderate rain
432,Pokaran,IN,26.9167,71.9167,74.82,36,2,9.4,clear sky
433,Mount Dora,US,28.8025,-81.6445,84.85,50,0,3.44,clear sky
434,Santa Maria,BR,-29.6842,-53.8069,79.9,50,0,11.5,clear sky
435,Baglung,NP,28.2719,83.5898,57.65,72,15,4.92,few clouds
436,Birao,CF,10.2849,22.7882,74.37,37,43,4.85,scattered clouds
437,Havelock,US,34.8791,-76.9013,66.15,87,100,8.05,overcast clouds
438,Marsaxlokk,MT,35.8419,14.5431,71.08,94,0,3.44,clear sky
439,Amapa,BR,1.0,-52.0,84.09,56,100,6.46,overcast clouds
440,Abaetetuba,BR,-1.7181,-48.8825,81.27,77,95,10.47,overcast clouds
441,Wanlaweyn,SO,2.6185,44.8938,76.6,84,90,6.17,overcast clouds
442,Caceres,ES,39.522,-6.3748,60.67,85,77,4.52,broken clouds
443,Saint-Joseph,RE,-21.3667,55.6167,68.38,76,20,10.11,few clouds
444,Damietta,EG,31.4165,31.8133,75.09,76,14,12.3,light rain
